ts,role,fps,goodput_mbps,latency_ms_p50,latency_ms_p95,cpu_pct,mem_mb,temp_c,drops,tag_fail
1761978745.263232921Z,sender,12.00,1.21,NaN,NaN,6.0,631.5,64.4,0,0
1761978745.513074358Z,receiver,16.00,1.42,0.16,0.30,6.1,631.5,64.4,0,0
1761978745.513585341Z,sender,16.00,1.42,NaN,NaN,6.1,631.5,64.4,0,0
1761978745.763530834Z,receiver,16.00,1.36,0.16,0.30,5.1,631.5,64.4,0,0
1761978745.763921113Z,sender,16.00,1.36,NaN,NaN,6.1,631.5,64.4,0,0
1761978746.014255663Z,receiver,16.00,1.29,0.16,0.30,9.7,631.7,64.4,0,0
1761978746.014482942Z,sender,16.00,1.29,NaN,NaN,8.8,631.7,64.4,0,0
1761978746.264757010Z,receiver,12.00,0.96,0.16,0.30,5.0,630.2,65.0,0,0
1761978746.264962622Z,sender,12.00,0.96,NaN,NaN,5.0,630.2,65.0,0,0
1761978746.515206598Z,receiver,16.00,1.28,0.16,0.30,5.1,631.2,65.0,0,0
1761978746.515353802Z,sender,16.00,1.28,NaN,NaN,5.1,631.2,65.0,0,0
1761978746.765661500Z,receiver,16.00,1.29,0.16,0.30,7.0,631.6,63.9,0,0
1761978746.765675093Z,sender,16.00,1.29,NaN,NaN,7.0,631.6,63.9,0,0
1761978747.016137495Z,receiver,16.00,1.28,0.16,0.30,7.8,631.6,65.0,0,0
1761978747.016186940Z,sender,16.00,1.28,NaN,NaN,7.8,631.6,65.0,0,0
1761978747.266523638Z,sender,12.00,1.01,NaN,NaN,6.0,629.5,63.9,0,0
1761978747.266664213Z,receiver,12.00,1.01,0.16,0.30,6.0,629.5,63.9,0,0
1761978747.516951337Z,sender,16.00,1.61,NaN,NaN,6.1,633.0,65.0,0,0
1761978747.517043337Z,receiver,16.00,1.61,0.16,0.30,6.1,633.0,65.0,0,0
1761978747.767388888Z,sender,16.00,1.26,NaN,NaN,7.0,633.0,65.0,0,0
1761978747.767528184Z,receiver,16.00,1.26,0.16,0.30,7.0,633.0,65.0,0,0
1761978748.017827920Z,sender,16.00,1.17,NaN,NaN,6.1,633.0,65.0,0,0
1761978748.017915975Z,receiver,16.00,1.17,0.16,0.30,6.0,633.0,65.0,0,0
1761978748.268383989Z,receiver,12.00,0.93,0.16,0.30,4.1,632.7,65.6,0,0
1761978748.268404397Z,sender,12.00,0.93,NaN,NaN,4.0,632.7,65.6,0,0
1761978748.521505456Z,receiver,16.00,1.30,0.16,0.30,5.0,633.3,65.0,0,0
