ts,role,fps,goodput_mbps,latency_ms_p50,latency_ms_p95,cpu_pct,mem_mb,temp_c,drops,tag_fail
1761982508.318153020Z,receiver,16.00,1.32,4.82,5.27,5.1,629.1,71.6,0,0
1761982508.568595637Z,sender,16.00,1.34,NaN,NaN,8.9,629.5,72.2,0,0
1761982508.568608859Z,receiver,16.00,1.34,4.82,5.27,8.9,629.5,72.2,0,0
1761982508.819029458Z,sender,12.00,0.85,NaN,NaN,4.0,630.5,71.6,0,0
1761982508.819185347Z,receiver,12.00,0.85,4.82,5.27,4.0,630.5,71.6,0,0
1761982509.069524926Z,sender,16.00,1.25,NaN,NaN,10.7,630.9,72.7,0,0
1761982509.069632982Z,receiver,16.00,1.25,4.83,5.27,10.7,630.9,72.7,0,0
1761982509.319932728Z,sender,16.00,1.26,NaN,NaN,7.9,629.8,72.2,0,0
1761982509.320057303Z,receiver,16.00,1.26,4.83,5.27,7.9,629.8,72.2,0,0
1761982509.570361938Z,sender,16.00,1.33,NaN,NaN,8.0,630.7,71.1,0,0
1761982509.570460086Z,receiver,16.00,1.33,4.83,5.27,8.0,630.7,71.1,0,0
1761982509.820925796Z,sender,12.00,0.97,NaN,NaN,5.0,630.7,72.7,0,0
1761982509.820975500Z,receiver,12.00,0.97,4.83,5.27,5.0,630.7,72.7,0,0
1761982510.071347616Z,sender,16.00,1.28,NaN,NaN,7.9,630.7,71.6,0,0
1761982510.071394320Z,receiver,16.00,1.28,4.83,5.27,7.9,630.7,71.6,0,0
1761982510.321707011Z,sender,16.00,1.27,NaN,NaN,7.0,629.9,71.6,0,0
1761982510.321790029Z,receiver,16.00,1.27,4.83,5.27,7.0,629.9,71.6,0,0
1761982510.572172868Z,sender,16.00,1.40,NaN,NaN,8.9,629.9,72.2,0,0
1761982510.572192868Z,receiver,16.00,1.40,4.83,5.27,8.9,629.9,72.2,0,0
1761982510.823641674Z,sender,12.00,1.00,NaN,NaN,4.1,630.1,72.2,0,0
1761982510.823781304Z,receiver,12.00,1.00,4.83,5.27,4.1,630.1,72.2,0,0
1761982511.074085735Z,sender,16.00,1.17,NaN,NaN,9.6,630.1,72.2,0,0
1761982511.074226180Z,receiver,16.00,1.17,4.83,5.27,9.6,630.1,72.2,0,0
1761982511.324484908Z,sender,16.00,1.34,NaN,NaN,8.0,628.2,72.2,0,0
1761982511.324638890Z,receiver,16.00,1.34,4.83,5.27,7.9,628.2,72.2,0,0
1761982511.574869561Z,sender,16.00,1.20,NaN,NaN,7.0,628.7,72.7,0,0
1761982511.574980802Z,receiver,16.00,1.20,4.83,5.27,7.1,628.7,72.7,0,0
1761982511.825435030Z,sender,16.00,1.31,NaN,NaN,7.0,629.8,71.1,0,0
1761982511.825457271Z,receiver,12.00,1.04,4.84,5.27,7.0,629.8,71.1,0,0
1761982512.075902629Z,receiver,16.00,1.20,4.84,5.27,5.1,630.3,72.2,0,0
1761982512.075912073Z,sender,12.00,0.94,NaN,NaN,5.1,630.3,72.2,0,0
1761982512.326324468Z,sender,16.00,1.32,NaN,NaN,7.0,628.9,71.6,0,0
1761982512.326335690Z,receiver,16.00,1.32,4.85,5.27,7.0,628.9,71.6,0,0
1761982512.576772918Z,sender,16.00,1.34,NaN,NaN,8.0,628.9,72.7,0,0
1761982512.576786936Z,receiver,16.00,1.34,4.85,5.28,8.0,628.9,72.7,0,0
1761982512.827836037Z,sender,16.00,1.37,NaN,NaN,7.9,629.2,71.6,0,0
1761982512.827859000Z,receiver,16.00,1.37,4.85,5.28,7.9,629.2,71.6,0,0
1761982513.078284339Z,sender,12.00,1.00,NaN,NaN,4.1,629.2,72.2,0,0
1761982513.078291302Z,receiver,12.00,1.00,4.86,5.28,4.1,629.2,72.2,0,0
1761982513.328663585Z,sender,16.00,1.26,NaN,NaN,8.0,628.4,72.2,0,0
1761982513.328707678Z,receiver,16.00,1.26,4.86,5.28,8.0,628.4,72.2,0,0
1761982513.579131368Z,sender,16.00,1.25,NaN,NaN,5.1,628.4,72.2,0,0
1761982513.579141183Z,receiver,16.00,1.25,4.86,5.28,5.1,628.4,72.2,0,0
1761982513.829613282Z,receiver,16.00,1.31,4.86,5.28,8.8,628.9,71.6,0,0
1761982513.830190302Z,sender,16.00,1.31,NaN,NaN,8.8,628.9,71.6,0,0
1761982514.080004713Z,receiver,12.00,0.92,4.86,5.28,6.0,629.1,71.6,0,0
1761982514.080506548Z,sender,12.00,0.92,NaN,NaN,6.0,629.1,71.6,0,0
1761982514.330370570Z,receiver,16.00,1.28,4.87,5.28,7.0,627.6,72.2,0,0
1761982514.330828590Z,sender,16.00,1.28,NaN,NaN,7.0,627.6,72.2,0,0
1761982514.580763446Z,receiver,16.00,1.26,4.87,5.29,6.1,628.0,72.2,0,0
1761982514.581145966Z,sender,16.00,1.26,NaN,NaN,6.1,628.0,72.2,0,0
1761982514.831340952Z,receiver,16.00,1.26,4.87,5.29,6.1,628.2,72.7,0,0
1761982514.831645731Z,sender,16.00,1.26,NaN,NaN,6.1,628.2,72.7,0,0
1761982515.081827532Z,receiver,12.00,1.04,4.88,5.29,8.7,628.2,72.2,0,0
1761982515.081988125Z,sender,12.00,1.04,NaN,NaN,8.7,628.2,72.2,0,0
1761982515.332408871Z,receiver,16.00,1.26,4.88,5.29,6.1,627.9,72.2,0,0
1761982515.332511872Z,sender,16.00,1.26,NaN,NaN,6.1,627.9,72.2,0,0
1761982515.582922803Z,receiver,16.00,1.25,4.88,5.29,7.0,628.3,72.2,0,0
1761982515.583022859Z,sender,16.00,1.25,NaN,NaN,7.0,628.3,72.2,0,0
1761982515.833431827Z,receiver,16.00,1.22,4.88,5.29,7.9,628.6,72.2,0,0
1761982515.833531809Z,sender,16.00,1.22,NaN,NaN,7.9,628.6,72.2,0,0
1761982516.083949685Z,receiver,12.00,0.96,4.88,5.29,4.0,628.8,72.7,0,0
1761982516.084049185Z,sender,12.00,0.96,NaN,NaN,4.0,628.8,72.7,0,0
1761982516.334464172Z,receiver,16.00,1.27,4.88,5.29,5.1,627.2,71.6,0,0
1761982516.334564154Z,sender,16.00,1.27,NaN,NaN,5.1,627.2,71.6,0,0
1761982516.584982771Z,receiver,16.00,1.41,4.88,5.30,8.0,626.9,72.2,0,0
1761982516.585084956Z,sender,16.00,1.41,NaN,NaN,8.0,626.9,72.2,0,0
