Transmit Start Time (since epoch as ms),Throughput (bytes per second),Latency (ms),Frames per Second,CPU Usage (%),Memory Used (bytes)
1761980067000,1360.2137,888,27.88,0.842225,5517073291
1761980067000,1549.5848,919,27.92,0.843074,5518273415
1761980067000,1277.9479,953,27.86,0.84878,5516917094
1761980067000,1282.5339,980,27.86,0.844546,5517822310
1761980067000,1413.3485,1012,27.85,0.842577,5515868504
1761980067000,1404.6246,1058,27.92,0.842666,5515204956
1761980067000,1317.3428,1083,27.9,0.848799,5515184477
1761980067000,1446.3833,1122,27.88,0.847003,5516093797
1761980067000,1459.3006,1139,27.91,0.847812,5518175280
1761980067000,1313.4153,1171,27.95,0.846622,5516409192
1761980067000,1218.867,1214,27.84,0.841451,5516147049
1761980067000,1670.2621,1260,27.9,0.844784,5517911318
1761980067000,1843.6292,1294,29.53,0.849085,5515938052
1761980067000,1802.7481,1342,29.41,0.842324,5516069129
1761980067000,1627.8504,1362,29.42,0.841222,5517302985
1761980067000,1541.6042,1391,29.55,0.84163,5517364425
1761980067000,1864.2344,1440,29.51,0.84143,5517766137
1761980067000,1985.8644,1475,29.73,0.84621,5518003705
1761980067000,1778.2162,1510,29.49,0.840229,5518813359
1761980067000,1907.7588,1535,29.57,0.84355,5517999608
1761980067000,2065.2335,1567,29.6,0.841796,5518833840
1761980067000,2010.5221,1602,29.47,0.841463,5519472816
1761980068000,4078.5187,741,29.51,0.842311,5518667265
1761980068000,3771.6902,790,29.62,0.846796,5518614028
1761980068000,3214.8937,815,29.47,0.84635,5518380550
1761980068000,2714.9481,850,28.49,0.844047,5517827593
1761980068000,1893.9067,902,28.5,0.845817,5517311500
1761980068000,1741.6113,924,28.58,0.849269,5517196894
1761980068000,1593.7482,969,28.59,0.844768,5516639838
1761980068000,1321.0578,1002,28.72,0.842171,5516779119
1761980068000,1492.6409,1038,28.64,0.841222,5520493766
1761980068000,1329.2822,1063,28.7,0.843747,5523640273
1761980068000,1190.027,1100,28.67,0.84739,5522264019
1761980068000,1034.5432,1124,28.8,0.847624,5518862728
1761980068000,890.9437,1165,28.71,0.846117,5518150027
1761980068000,851.1083,1204,28.69,0.849252,5519149944
1761980068000,772.4375,1242,28.81,0.848268,5519158136
1761980068000,834.307,1267,28.66,0.847576,5518997846
1761980068000,724.1031,1302,28.63,0.84279,5518557343
1761980068000,713.4276,1343,28.77,0.847708,5516926170
1761980068000,694.9488,1385,28.28,0.840818,5517180123
1761980068000,736.8193,1414,28.36,0.843728,5518016530
1761980068000,768.6221,1446,28.41,0.841989,5516979408
1761980068000,858.3048,1480,28.32,0.840383,5518401362
1761980068000,824.5219,1525,28.39,0.841888,5517692767
1761980068000,911.6959,1566,28.42,0.846374,5518506519
1761980068000,912.0031,1589,28.41,0.83964,5516843543
1761980068000,1098.799,1624,28.29,0.846907,5517722526
1761980068000,1060.4246,1667,28.3,0.84916,5517562236
1761980068000,1392.7058,1705,28.37,0.84076,5517738360
1761980068000,1196.7904,1731,28.37,0.840469,5517697396
1761980069000,2261.0241,811,28.34,0.84464,5516710349
1761980069000,2084.9441,853,28.34,0.84242,5518569933
1761980069000,1535.4966,893,27.86,0.8447,5518518789
1761980069000,28511.1884,934,27.85,0.848634,5518354398
1761980069000,888.2842,971,27.83,0.843273,5516931299
1761980069000,932.4794,1008,27.85,0.841134,5516394728
1761980069000,1004.8392,1038,27.93,0.846782,5515311310
1761980069000,1469.8816,1066,27.9,0.842832,5516868820
1761980069000,1592.5936,1107,27.93,0.84993,5516520650
1761980069000,2125.6112,1139,27.91,0.840177,5516672737
1761980069000,1812.9816,1180,27.94,0.846238,5516582622
1761980069000,1689.5988,1216,27.95,0.842905,5519288896
1761980069000,1814.3795,1258,27.9,0.84155,5517011530
1761980069000,1554.4702,1278,27.86,0.84036,5518728425
1761980069000,1468.5637,1312,27.87,0.842409,5518753002
1761980069000,1155.0613,1339,27.92,0.841018,5517432600

